,date,new_case,new_death,country
756,2/3/20 08:09,7,0,China
757,2/3/20 07:42,2,0,International
758,2/3/20 07:38,3,0,China
759,2/3/20 07:35,1,0,China
760,2/3/20 07:20,5,0,China
761,2/3/20 06:14,11,0,China
762,2/3/20 06:13,5,0,China
763,2/3/20 05:58,1,0,International
764,2/3/20 03:22,15,0,China
765,2/3/20 03:09,6,0,China
766,2/3/20 02:55,1,0,International
767,2/3/20 02:50,1,0,International
768,2/3/20 02:46,1,0,International
769,2/3/20 02:45,0,1,International
770,2/3/20 02:22,1,0,China
771,2/3/20 02:13,14,0,China
772,2/3/20 02:03,3,0,China
773,2/3/20 01:57,72,0,China
